1280-light | Section heading | #595F6A / #F9FBFD at x=264, y=76 | 6.20:1
1280-light | Intro | #595F6A / #F9FBFD at x=272, y=119 | 6.20:1
1280-light | Preset timing | #595F6A / #F9FBFD at x=272, y=148 | 6.20:1
1280-light | Preset detail | #626771 / #F9FBFD at x=444, y=209 | 5.46:1
1280-light | Work detail | #616671 / #F9FBFD at x=892, y=209 | 5.54:1
1280-light | Builder detail | #5F656F / #F9FBFD at x=524, y=281 | 5.64:1
1280-light | Full Mac detail | #616671 / #F9FBFD at x=932, y=281 | 5.54:1
1280-light | Immediate heading | #595F6A / #F9FBFD at x=280, y=383 | 6.20:1
1280-light | Immediate explanation | #595F6A / #F9FBFD at x=288, y=428 | 6.20:1
1280-light | Developer explanation | #595F6A / #F9FBFD at x=288, y=584 | 6.20:1
1280-light | Draft heading | #595F6A / #F9FBFD at x=280, y=667 | 6.20:1
1280-light | Save timing | #595F6A / #F9FBFD at x=288, y=712 | 6.20:1
1280-dark | Section heading | #FFFFFF / #6D5F48 at x=404, y=76 | 6.19:1
1280-dark | Intro | #FFFFFF / #78694F at x=452, y=119 | 5.37:1
1280-dark | Preset timing | #FFFFFF / #7C6C52 at x=472, y=148 | 5.11:1
1280-dark | Preset detail | #FFFFFF / #7B6B51 at x=464, y=209 | 5.19:1
1280-dark | Work detail | #FFFFFF / #5F523E at x=712, y=209 | 7.60:1
1280-dark | Builder detail | #FFFFFF / #71624A at x=444, y=281 | 5.90:1
1280-dark | Full Mac detail | #FFFFFF / #5C503B at x=712, y=281 | 7.90:1
1280-dark | Immediate heading | #FFFFFF / #61543F at x=420, y=383 | 7.35:1
1280-dark | Immediate explanation | #FFFFFF / #5C503B at x=448, y=428 | 7.90:1
1280-dark | Developer explanation | #FFFEFB / #433A2B at x=408, y=584 | 11.14:1
1280-dark | Draft heading | #F8F7F5 / #352E21 at x=460, y=667 | 12.48:1
1280-dark | Save timing | #F2F2F2 / #2D261B at x=408, y=712 | 13.30:1
