# path	needle	expected_count	classification	canonical_owner
Modules/NativeAgentCore/Sources/BackgroundLoops/BackgroundLoops.swift	timeoutNanoseconds	1	timeout_retry_deadline	BackgroundLoops.tickWithTimeout
Modules/NativeAgentCore/Sources/BackgroundLoops/BackgroundLoops.swift	try await Task.sleep(nanoseconds: nanos)	1	integrity_sweep	SwiftNativeLoopScheduler
Modules/NativeAgentCore/Sources/BackgroundLoops/BackgroundLoopsManager.swift	*	2	event_deadline	BackgroundLoopsManager.physiology
Modules/NativeAgentCore/Sources/ChatOrchestration/ChatCompactionDistiller.swift	*	1	timeout_retry_deadline	ChatCompactionDistiller
Modules/NativeAgentCore/Sources/ChatOrchestration/ChatOrchestration+AutonomyGate.swift	*	1	timeout_retry_deadline	AutonomyGate
Modules/NativeAgentCore/Sources/ChatOrchestration/ChatOrchestration+ToolLoop.swift	*	1	timeout_retry_deadline	ToolDispatchDeadline
Modules/NativeAgentCore/Sources/ChatOrchestration/ChatOrchestration+TurnEngine.swift	*	1	timeout_retry_deadline	TurnEngine.attentionRead
Modules/NativeAgentCore/Sources/ChatOrchestration/SwiftToolDispatcher+AgentBridgeTools.swift	*	5	timeout_retry_deadline	AgentBridgeToolDispatch
Modules/NativeAgentCore/Sources/ChatOrchestration/SwiftToolDispatcher+SubprocessSupport.swift	*	3	timeout_retry_deadline	ToolSubprocessOwner
Modules/NativeAgentCore/Sources/Context/ContextSourceMonitoring.swift	*	1	event_deadline	ContextSourceDebouncer
Modules/NativeAgentCore/Sources/Dispatcher/Actions/FileSystemActions.swift	*	2	timeout_retry_deadline	FileSystemProcessOwner
Modules/NativeAgentCore/Sources/MCPDispatcher/MCPHTTPTransport.swift	*	1	timeout_retry_deadline	MCPHTTPRetryBackoff
Modules/NativeAgentCore/Sources/MCPDispatcher/MCPSubprocess+Pool.swift	*	1	event_deadline	MCPSubprocessPool.idleDeadline
Modules/NativeAgentCore/Sources/MCPDispatcher/MCPSubprocess+Process.swift	*	1	timeout_retry_deadline	MCPSubprocessProcess
Modules/NativeAgentCore/Sources/MacControl/MacControl+Client.swift	*	3	timeout_retry_deadline	MacControlOperationOwner
Modules/NativeAgentCore/Sources/NativeAgentCore/ProcessTreeReaper.swift	*	1	timeout_retry_deadline	ProcessTreeReaper
Modules/NativeAgentCore/Sources/MemoryV2/MemoryV2+CloudKit.swift	*	2	external_protocol_poll	MemoryCloudKitTransport
Modules/NativeAgentCore/Sources/MemoryV2/MemoryV2+EmbeddingRuntime.swift	*	1	timeout_retry_deadline	EmbeddingRuntimeBackoff
Modules/NativeAgentCore/Sources/MemoryV2/MemoryV2+FoundationModels.swift	*	1	timeout_retry_deadline	FoundationModelTimeout
Modules/NativeAgentCore/Sources/MemoryV2/MemoryV2+UserMDGen.swift	*	1	timeout_retry_deadline	UserMDProjectionRetry
Modules/NativeAgentCore/Sources/NativeAgentCore/DerivedStateInvalidation.swift	*	1	event_deadline	DerivedStateInvalidationCenter
Modules/NativeAgentCore/Sources/PersistenceCore/ChatSessionRetention.swift	*	1	timeout_retry_deadline	ChatSessionRetentionLock
Modules/NativeAgentCore/Sources/PersistenceCore/PersistenceCore+FileLock.swift	*	2	timeout_retry_deadline	PersistenceFileLock
Modules/NativeAgentCore/Sources/PersistenceCore/StoreReloadDebouncer.swift	*	1	event_deadline	StoreReloadDebouncer
Modules/NativeAgentCore/Sources/ProviderRouting/LLMClient+AnthropicNativeTools.swift	try? await Task.sleep(nanoseconds: nanos)	1	timeout_retry_deadline	AnthropicAdapter.nativeToolKeepAlive
Modules/NativeAgentCore/Sources/ProviderRouting/LLMClient+CodexAdapter.swift	*	3	timeout_retry_deadline	CodexAdapterProcessOwner
Modules/NativeAgentCore/Sources/ProviderRouting/LLMClient+OpenRouterAdapter.swift	try? await Task.sleep(nanoseconds: UInt64(timeout * 1_000_000_000))	1	timeout_retry_deadline	OpenRouterErrorBodyDrainDeadline
Modules/NativeAgentCore/Sources/ProviderRouting/ProviderStreamGuard.swift	*	1	timeout_retry_deadline	ProviderStreamGuard
Modules/NativeAgentCore/Sources/Research/ResearchTransports.swift	*	1	timeout_retry_deadline	ResearchTransportBackoff
Modules/NativeAgentCore/Sources/SelfImprovement/EvolutionSupport.swift	*	2	timeout_retry_deadline	EvolutionProcessOwner
Modules/NativeAgentCore/Sources/SelfImprovement/SelfImprovement+Diff.swift	*	1	timeout_retry_deadline	SelfImprovementDiffProcess
Modules/NativeAgentCore/Sources/SelfImprovement/SelfImprovement+Git.swift	*	1	timeout_retry_deadline	SelfImprovementGitProcess
Modules/NativeAgentCore/Sources/SelfImprovement/SelfImprovementOrchestrator.swift	*	1	timeout_retry_deadline	SelfImprovementBuildProcess
Modules/NativeAgentCore/Sources/SwarmRuns/SwarmExecutor.swift	*	1	timeout_retry_deadline	SwarmExecutorWait
Modules/NativeAgentCore/Sources/SystemOps/SystemOps+Types.swift	*	1	timeout_retry_deadline	SystemOpsDeadline
Modules/NativeAgentCore/Sources/TelegramBot/TelegramPollLoop+ChatProgress.swift	*	2	external_protocol_poll	TelegramProgressTransport
Modules/NativeAgentCore/Sources/TelegramBot/TelegramVoiceTranscription.swift	*	2	timeout_retry_deadline	TelegramTranscriptionProcess
Modules/NativeAgentCore/Sources/ToolExecution/ToolExecution+RunSandbox.swift	*	2	timeout_retry_deadline	ToolSandboxProcess
Modules/NativeAgentCore/Sources/WorkflowOrchestration/WorkflowOrchestration+Client.swift	*	1	timeout_retry_deadline	WorkflowAttemptOwner
Modules/NativeAgentCore/Sources/WorkshopExecution/WorkshopExecution+Executor.swift	*	1	timeout_retry_deadline	WorkshopStepCancellationDeadline
Modules/NativeAgentCore/Sources/WorkshopExecution/WorkshopExecution+PlannerLLM.swift	*	1	timeout_retry_deadline	WorkshopPlannerDeadline
Sources/NativeAgentApp/AgentBridgeCompletionRouter.swift	*	1	timeout_retry_deadline	AgentBridgeCompletionRetry
Sources/NativeAgentApp/AppDelegate+Launch.swift	*	1	timeout_retry_deadline	LaunchGraceDeadline
Sources/NativeAgentApp/AppModel+ChatSessions.swift	*	1	visible_ui	ChatSessionSelectionUI
Sources/NativeAgentApp/AppModel+GraphCapabilityActions.swift	*	1	visible_ui	GraphCapabilityUI
Sources/NativeAgentApp/BrowserWindow.swift	*	5	timeout_retry_deadline	BrowserIPCAndNavigationOwner
Sources/NativeAgentApp/ChatComposerChrome.swift	*	1	visible_ui	ChatComposerUI
Sources/NativeAgentApp/ChatMessageListView.swift	*	1	visible_ui	ChatMessageListUI
Sources/NativeAgentApp/ChatViewStateCoordinators.swift	*	2	visible_ui	ChatScrollUI
Sources/NativeAgentApp/CommandPalette.swift	*	2	visible_ui	CommandPaletteUI
Sources/NativeAgentApp/ContentView.swift	*	1	visible_ui	ContentViewUI
Sources/NativeAgentApp/ClaudeBridge.swift	*	6	timeout_retry_deadline	ClaudeBridgeDeadlineOwner
Sources/NativeAgentApp/DetachedChatPanel.swift	*	1	visible_ui	DetachedChatPanelUI
Sources/NativeAgentApp/DetachedChatPanelView.swift	*	2	visible_ui	DetachedChatPanelViewUI
Sources/NativeAgentApp/Diagnostics/CKLandmine.swift	*	2	external_protocol_poll	CloudKitDiagnosticTransport
Sources/NativeAgentApp/InstalledPhysiologySoakRecorder.swift	*	2	event_deadline	InstalledPhysiologySoakRecorder.coalescedBatchFlushAndBoundedDurabilityBarrier
Sources/NativeAgentApp/MacAppleScriptBridge+Runtime.swift	*	1	timeout_retry_deadline	AppleScriptProcessDeadline
Sources/NativeAgentApp/MacControlBridge.swift	*	5	timeout_retry_deadline	MacControlBridgeProcessAndConnectionOwner
Sources/NativeAgentApp/MacIntegrationView.swift	*	1	visible_ui	MacIntegrationUI
Sources/NativeAgentApp/MacPairingView.swift	*	2	visible_ui	MacPairingUI
Sources/NativeAgentApp/MacSyncEngine+Lifecycle.swift	*	1	integrity_sweep	MacSyncSnapshotIntegrityFallback
Sources/NativeAgentApp/MacSyncEngine+Storage.swift	*	1	event_deadline	MacSyncArchiveRetentionDeadline
Sources/NativeAgentApp/MemoryView.swift	*	2	visible_ui	MemoryViewUI
Sources/NativeAgentApp/MenuBarController.swift	*	1	visible_ui	MenuBarUI
Sources/NativeAgentApp/NativeAgentApp.swift	*	1	visible_ui	NativeAgentAppUI
Sources/NativeAgentApp/NativeClient+ChatRuntime.swift	*	1	timeout_retry_deadline	ChatSlowNetworkAdvisory
Sources/NativeAgentApp/NativeClient+SystemOpsActions.swift	*	2	timeout_retry_deadline	SystemOpsProcessOwner
Sources/NativeAgentApp/NativeCognitionRuntime.swift	*	2	event_deadline	NativeCognitionRuntime
Sources/NativeAgentApp/NativeCognitionRuntime+Deadlines.swift	*	1	event_deadline	NativeCognitionRuntime
Sources/NativeAgentApp/NativeOAuthFlow+Loopback.swift	*	1	timeout_retry_deadline	OAuthLoopbackExpiry
Sources/NativeAgentApp/OAuthSignInButton.swift	*	2	external_protocol_poll	OAuthSignInFlow
Sources/NativeAgentApp/PollScheduler.swift	*	1	visible_ui	PollScheduler
Sources/NativeAgentApp/SchedulerDueJobRunner+Timeout.swift	*	1	user_schedule	SchedulerJobDeadline
Sources/NativeAgentApp/SlimSettingsView.swift	*	1	visible_ui	SidebarUI
Sources/NativeAgentApp/SkillLifecycleView.swift	*	2	visible_ui	SkillLifecycleUI
Sources/NativeAgentApp/SlackSocketModeLoop.swift	*	4	external_protocol_poll	SlackSocketModeTransport
Sources/NativeAgentApp/SpotlightOverlay.swift	*	1	visible_ui	SpotlightOverlayUI
Sources/NativeAgentApp/SwiftCodexDeviceLoginManager.swift	*	3	external_protocol_poll	CodexDeviceLoginFlow
Sources/NativeAgentApp/SystemToastBar.swift	*	1	visible_ui	SystemToastUI
Sources/NativeAgentApp/TelegramApprovalCoordinator.swift	*	1	external_protocol_poll	TelegramApprovalWait
Sources/NativeAgentApp/ToolsView.swift	*	1	visible_ui	ToolsViewUI
Sources/NativeAgentApp/VoiceInputController.swift	*	1	visible_ui	VoiceInputUI
Sources/NativeAgentApp/WorkshopSession.swift	*	1	timeout_retry_deadline	WorkshopSessionDeadline
Sources/NativeAgentApp/NativeOAuthLoopbackCallbackServer.swift	*	1	timeout_retry_deadline	NativeOAuthLoopbackDeadline
Sources/NativeAgentApp/iCloudBridge.swift	*	2	external_protocol_poll	iCloudBridgeTransport
